wrk_71 is done, it takes 13.000000sec
wrk_89 is done, it takes 22.000000sec
wrk_128 is done, it takes 23.000000sec
wrk_458 is done, it takes 64.000000sec
wrk_17 is done, it takes 99.000000sec
wrk_180 is done, it takes 57.000000sec
wrk_577 is done, it takes 67.000000sec
wrk_222 is done, it takes 33.000000sec
wrk_226 is done, it takes 31.000000sec
wrk_303 is done, it takes 37.000000sec
wrk_357 is done, it takes 40.000000sec
wrk_262 is done, it takes 7.000000sec
wrk_123 is done, it takes 59.000000sec
wrk_589 is done, it takes 41.000000sec
wrk_599 is done, it takes 37.000000sec
wrk_234 is done, it takes 20.000000sec
wrk_181 is done, it takes 61.000000sec
wrk_517 is done, it takes 44.000000sec
wrk_125 is done, it takes 28.000000sec
wrk_524 is done, it takes 50.000000sec
wrk_201 is done, it takes 61.000000sec
wrk_281 is done, it takes 64.000000sec
wrk_191 is done, it takes 60.000000sec
wrk_274 is done, it takes 7.000000sec
wrk_257 is done, it takes 12.000000sec
wrk_568 is done, it takes 59.000000sec
wrk_588 is done, it takes 43.000000sec
wrk_243 is done, it takes 18.000000sec
wrk_320 is done, it takes 57.000000sec
wrk_418 is done, it takes 65.000000sec
wrk_297 is done, it takes 13.000000sec
wrk_112 is done, it takes 80.000000sec
wrk_394 is done, it takes 68.000000sec
wrk_186 is done, it takes 62.000000sec
wrk_459 is done, it takes 69.000000sec
wrk_590 is done, it takes 43.000000sec
wrk_420 is done, it takes 68.000000sec
wrk_124 is done, it takes 63.000000sec
wrk_423 is done, it takes 72.000000sec
wrk_581 is done, it takes 65.000000sec
wrk_143 is done, it takes 76.000000sec
wrk_245 is done, it takes 21.000000sec
wrk_283 is done, it takes 67.000000sec
wrk_595 is done, it takes 45.000000sec
wrk_426 is done, it takes 70.000000sec
wrk_240 is done, it takes 21.000000sec
wrk_377 is done, it takes 75.000000sec
wrk_561 is done, it takes 60.000000sec
wrk_372 is done, it takes 74.000000sec
wrk_254 is done, it takes 16.000000sec
wrk_246 is done, it takes 22.000000sec
wrk_127 is done, it takes 44.000000sec
wrk_231 is done, it takes 32.000000sec
wrk_424 is done, it takes 76.000000sec
wrk_388 is done, it takes 75.000000sec
wrk_126 is done, it takes 47.000000sec
wrk_223 is done, it takes 44.000000sec
wrk_237 is done, it takes 32.000000sec
wrk_537 is done, it takes 54.000000sec
wrk_251 is done, it takes 23.000000sec
wrk_640 is done, it takes 3.000000sec
wrk_171 is done, it takes 62.000000sec
wrk_528 is done, it takes 61.000000sec
wrk_582 is done, it takes 74.000000sec
wrk_291 is done, it takes 76.000000sec
wrk_136 is done, it takes 83.000000sec
wrk_78 is done, it takes 266.000000sec
wrk_646 is done, it takes 9.000000sec
wrk_242 is done, it takes 33.000000sec
wrk_631 is done, it takes 7.000000sec
wrk_392 is done, it takes 83.000000sec
wrk_391 is done, it takes 84.000000sec
wrk_633 is done, it takes 8.000000sec
wrk_267 is done, it takes 25.000000sec
wrk_670 is done, it takes 8.000000sec
wrk_408 is done, it takes 88.000000sec
wrk_641 is done, it takes 11.000000sec
wrk_634 is done, it takes 8.000000sec
wrk_356 is done, it takes 62.000000sec
wrk_46 is done, it takes 177.000000sec
wrk_185 is done, it takes 54.000000sec
wrk_410 is done, it takes 87.000000sec
wrk_666 is done, it takes 11.000000sec
wrk_478 is done, it takes 13.000000sec
wrk_198 is done, it takes 51.000000sec
wrk_534 is done, it takes 67.000000sec
wrk_556 is done, it takes 78.000000sec
wrk_301 is done, it takes 61.000000sec
wrk_653 is done, it takes 8.000000sec
wrk_272 is done, it takes 27.000000sec
wrk_422 is done, it takes 90.000000sec
wrk_260 is done, it takes 30.000000sec
wrk_352 is done, it takes 66.000000sec
wrk_382 is done, it takes 86.000000sec
wrk_217 is done, it takes 60.000000sec
wrk_563 is done, it takes 76.000000sec
wrk_210 is done, it takes 64.000000sec
wrk_194 is done, it takes 48.000000sec
wrk_598 is done, it takes 62.000000sec
wrk_440 is done, it takes 55.000000sec
wrk_221 is done, it takes 61.000000sec
wrk_361 is done, it takes 25.000000sec
wrk_229 is done, it takes 43.000000sec
wrk_399 is done, it takes 83.000000sec
wrk_405 is done, it takes 64.000000sec
wrk_160 is done, it takes 97.000000sec
wrk_264 is done, it takes 33.000000sec
wrk_101 is done, it takes 151.000000sec
wrk_546 is done, it takes 21.000000sec
wrk_150 is done, it takes 95.000000sec
wrk_676 is done, it takes 18.000000sec
wrk_193 is done, it takes 51.000000sec
wrk_393 is done, it takes 94.000000sec
wrk_435 is done, it takes 61.000000sec
wrk_661 is done, it takes 18.000000sec
wrk_156 is done, it takes 94.000000sec
wrk_164 is done, it takes 81.000000sec
wrk_134 is done, it takes 94.000000sec
wrk_464 is done, it takes 96.000000sec
wrk_693 is done, it takes 21.000000sec
wrk_551 is done, it takes 91.000000sec
wrk_209 is done, it takes 54.000000sec
wrk_550 is done, it takes 24.000000sec
wrk_27 is done, it takes 230.000000sec
wrk_374 is done, it takes 96.000000sec
wrk_275 is done, it takes 34.000000sec
wrk_664 is done, it takes 24.000000sec
wrk_111 is done, it takes 82.000000sec
wrk_668 is done, it takes 23.000000sec
wrk_421 is done, it takes 96.000000sec
wrk_645 is done, it takes 24.000000sec
wrk_212 is done, it takes 55.000000sec
wrk_341 is done, it takes 36.000000sec
wrk_702 is done, it takes 17.000000sec
wrk_597 is done, it takes 72.000000sec
wrk_428 is done, it takes 97.000000sec
wrk_525 is done, it takes 85.000000sec
wrk_270 is done, it takes 41.000000sec
wrk_307 is done, it takes 38.000000sec
wrk_269 is done, it takes 41.000000sec
wrk_656 is done, it takes 24.000000sec
wrk_115 is done, it takes 114.000000sec
wrk_325 is done, it takes 43.000000sec
wrk_652 is done, it takes 23.000000sec
wrk_120 is done, it takes 97.000000sec
wrk_396 is done, it takes 92.000000sec
wrk_508 is done, it takes 9.000000sec
wrk_535 is done, it takes 82.000000sec
wrk_409 is done, it takes 106.000000sec
wrk_364 is done, it takes 37.000000sec
wrk_365 is done, it takes 36.000000sec
wrk_654 is done, it takes 30.000000sec
wrk_521 is done, it takes 82.000000sec
wrk_308 is done, it takes 39.000000sec
wrk_294 is done, it takes 100.000000sec
wrk_354 is done, it takes 82.000000sec
wrk_213 is done, it takes 78.000000sec
wrk_311 is done, it takes 27.000000sec
wrk_669 is done, it takes 32.000000sec
wrk_220 is done, it takes 63.000000sec
wrk_574 is done, it takes 96.000000sec
wrk_555 is done, it takes 98.000000sec
wrk_313 is done, it takes 47.000000sec
wrk_258 is done, it takes 48.000000sec
wrk_659 is done, it takes 31.000000sec
wrk_427 is done, it takes 107.000000sec
wrk_252 is done, it takes 47.000000sec
wrk_452 is done, it takes 103.000000sec
wrk_660 is done, it takes 33.000000sec
wrk_445 is done, it takes 59.000000sec
wrk_651 is done, it takes 31.000000sec
wrk_109 is done, it takes 75.000000sec
wrk_567 is done, it takes 107.000000sec
wrk_461 is done, it takes 113.000000sec
wrk_638 is done, it takes 36.000000sec
wrk_349 is done, it takes 41.000000sec
wrk_178 is done, it takes 109.000000sec
wrk_648 is done, it takes 36.000000sec
wrk_617 is done, it takes 6.000000sec
wrk_305 is done, it takes 51.000000sec
wrk_299 is done, it takes 54.000000sec
wrk_667 is done, it takes 37.000000sec
wrk_692 is done, it takes 21.000000sec
wrk_566 is done, it takes 100.000000sec
wrk_261 is done, it takes 56.000000sec
wrk_443 is done, it takes 23.000000sec
wrk_606 is done, it takes 9.000000sec
wrk_366 is done, it takes 45.000000sec
wrk_512 is done, it takes 19.000000sec
wrk_576 is done, it takes 104.000000sec
wrk_363 is done, it takes 44.000000sec
wrk_314 is done, it takes 55.000000sec
wrk_696 is done, it takes 32.000000sec
wrk_381 is done, it takes 115.000000sec
wrk_196 is done, it takes 86.000000sec
wrk_699 is done, it takes 34.000000sec
wrk_500 is done, it takes 21.000000sec
wrk_506 is done, it takes 50.000000sec
wrk_604 is done, it takes 14.000000sec
wrk_593 is done, it takes 92.000000sec
wrk_473 is done, it takes 16.000000sec
wrk_343 is done, it takes 29.000000sec
wrk_450 is done, it takes 77.000000sec
wrk_247 is done, it takes 32.000000sec
wrk_351 is done, it takes 49.000000sec
wrk_113 is done, it takes 134.000000sec
wrk_318 is done, it takes 118.000000sec
wrk_183 is done, it takes 115.000000sec
wrk_503 is done, it takes 24.000000sec
wrk_430 is done, it takes 123.000000sec
wrk_400 is done, it takes 51.000000sec
wrk_353 is done, it takes 98.000000sec
wrk_741 is done, it takes 12.000000sec
wrk_844 is done, it takes 11.000000sec
wrk_397 is done, it takes 111.000000sec
wrk_298 is done, it takes 52.000000sec
wrk_766 is done, it takes 13.000000sec
wrk_592 is done, it takes 95.000000sec
wrk_197 is done, it takes 89.000000sec
wrk_737 is done, it takes 13.000000sec
wrk_516 is done, it takes 21.000000sec
wrk_168 is done, it takes 108.000000sec
wrk_673 is done, it takes 44.000000sec
wrk_591 is done, it takes 96.000000sec
wrk_838 is done, it takes 13.000000sec
wrk_649 is done, it takes 40.000000sec
wrk_842 is done, it takes 8.000000sec
wrk_742 is done, it takes 14.000000sec
wrk_385 is done, it takes 116.000000sec
wrk_442 is done, it takes 84.000000sec
wrk_635 is done, it takes 44.000000sec
wrk_170 is done, it takes 109.000000sec
wrk_340 is done, it takes 61.000000sec
wrk_747 is done, it takes 16.000000sec
wrk_114 is done, it takes 109.000000sec
wrk_612 is done, it takes 51.000000sec
wrk_602 is done, it takes 23.000000sec
wrk_438 is done, it takes 88.000000sec
wrk_805 is done, it takes 12.000000sec
wrk_601 is done, it takes 52.000000sec
wrk_761 is done, it takes 17.000000sec
wrk_312 is done, it takes 101.000000sec
wrk_255 is done, it takes 68.000000sec
wrk_472 is done, it takes 55.000000sec
wrk_642 is done, it takes 53.000000sec
wrk_608 is done, it takes 23.000000sec
wrk_613 is done, it takes 23.000000sec
wrk_639 is done, it takes 51.000000sec
wrk_216 is done, it takes 101.000000sec
wrk_695 is done, it takes 48.000000sec
wrk_338 is done, it takes 68.000000sec
wrk_360 is done, it takes 107.000000sec
wrk_570 is done, it takes 120.000000sec
wrk_846 is done, it takes 20.000000sec
wrk_488 is done, it takes 19.000000sec
wrk_483 is done, it takes 24.000000sec
wrk_214 is done, it takes 103.000000sec
wrk_511 is done, it takes 35.000000sec
wrk_202 is done, it takes 92.000000sec
wrk_244 is done, it takes 83.000000sec
wrk_839 is done, it takes 19.000000sec
wrk_677 is done, it takes 56.000000sec
wrk_808 is done, it takes 19.000000sec
wrk_527 is done, it takes 114.000000sec
wrk_836 is done, it takes 22.000000sec
wrk_686 is done, it takes 8.000000sec
wrk_249 is done, it takes 79.000000sec
wrk_764 is done, it takes 20.000000sec
wrk_853 is done, it takes 18.000000sec
wrk_293 is done, it takes 128.000000sec
wrk_636 is done, it takes 53.000000sec
wrk_149 is done, it takes 134.000000sec
wrk_339 is done, it takes 70.000000sec
wrk_494 is done, it takes 19.000000sec
wrk_658 is done, it takes 58.000000sec
wrk_678 is done, it takes 11.000000sec
wrk_497 is done, it takes 20.000000sec
wrk_414 is done, it takes 64.000000sec
wrk_359 is done, it takes 111.000000sec
wrk_417 is done, it takes 58.000000sec
wrk_619 is done, it takes 26.000000sec
wrk_630 is done, it takes 12.000000sec
wrk_250 is done, it takes 69.000000sec
wrk_690 is done, it takes 4.000000sec
wrk_628 is done, it takes 13.000000sec
wrk_684 is done, it takes 12.000000sec
wrk_225 is done, it takes 105.000000sec
wrk_259 is done, it takes 79.000000sec
wrk_479 is done, it takes 64.000000sec
wrk_439 is done, it takes 101.000000sec
wrk_304 is done, it takes 69.000000sec
wrk_843 is done, it takes 23.000000sec
wrk_688 is done, it takes 16.000000sec
wrk_510 is done, it takes 24.000000sec
wrk_335 is done, it takes 74.000000sec
wrk_204 is done, it takes 97.000000sec
wrk_415 is done, it takes 64.000000sec
wrk_806 is done, it takes 24.000000sec
wrk_386 is done, it takes 130.000000sec
wrk_518 is done, it takes 116.000000sec
wrk_756 is done, it takes 29.000000sec
wrk_575 is done, it takes 128.000000sec
wrk_248 is done, it takes 51.000000sec
wrk_618 is done, it takes 18.000000sec
wrk_682 is done, it takes 14.000000sec
wrk_167 is done, it takes 56.000000sec
wrk_765 is done, it takes 30.000000sec
wrk_387 is done, it takes 132.000000sec
wrk_762 is done, it takes 30.000000sec
wrk_492 is done, it takes 25.000000sec
wrk_350 is done, it takes 48.000000sec
wrk_700 is done, it takes 19.000000sec
wrk_755 is done, it takes 31.000000sec
wrk_327 is done, it takes 81.000000sec
wrk_467 is done, it takes 142.000000sec
wrk_268 is done, it takes 81.000000sec
wrk_319 is done, it takes 132.000000sec
wrk_329 is done, it takes 81.000000sec
wrk_860 is done, it takes 20.000000sec
wrk_296 is done, it takes 54.000000sec
wrk_621 is done, it takes 17.000000sec
wrk_848 is done, it takes 27.000000sec
wrk_547 is done, it takes 37.000000sec
wrk_227 is done, it takes 110.000000sec
wrk_474 is done, it takes 61.000000sec
wrk_708 is done, it takes 11.000000sec
wrk_754 is done, it takes 34.000000sec
wrk_477 is done, it takes 40.000000sec
wrk_874 is done, it takes 16.000000sec
wrk_498 is done, it takes 31.000000sec
wrk_889 is done, it takes 12.000000sec
wrk_499 is done, it takes 49.000000sec
wrk_232 is done, it takes 93.000000sec
wrk_869 is done, it takes 22.000000sec
wrk_522 is done, it takes 51.000000sec
wrk_487 is done, it takes 37.000000sec
wrk_607 is done, it takes 44.000000sec
wrk_896 is done, it takes 9.000000sec
wrk_122 is done, it takes 74.000000sec
wrk_549 is done, it takes 76.000000sec
wrk_746 is done, it takes 35.000000sec
wrk_141 is done, it takes 72.000000sec
wrk_895 is done, it takes 19.000000sec
wrk_603 is done, it takes 43.000000sec
wrk_265 is done, it takes 92.000000sec
wrk_182 is done, it takes 146.000000sec
wrk_796 is done, it takes 6.000000sec
wrk_854 is done, it takes 37.000000sec
wrk_129 is done, it takes 75.000000sec
wrk_866 is done, it takes 24.000000sec
wrk_166 is done, it takes 67.000000sec
wrk_629 is done, it takes 28.000000sec
wrk_749 is done, it takes 36.000000sec
wrk_501 is done, it takes 53.000000sec
wrk_671 is done, it takes 75.000000sec
wrk_404 is done, it takes 123.000000sec
wrk_119 is done, it takes 161.000000sec
wrk_155 is done, it takes 72.000000sec
wrk_802 is done, it takes 6.000000sec
wrk_609 is done, it takes 43.000000sec
wrk_940 is done, it takes 6.000000sec
wrk_306 is done, it takes 82.000000sec
wrk_887 is done, it takes 21.000000sec
wrk_779 is done, it takes 11.000000sec
wrk_855 is done, it takes 39.000000sec
wrk_894 is done, it takes 9.000000sec
wrk_793 is done, it takes 8.000000sec
wrk_663 is done, it takes 79.000000sec
wrk_771 is done, it takes 10.000000sec
wrk_885 is done, it takes 20.000000sec
wrk_858 is done, it takes 35.000000sec
wrk_911 is done, it takes 7.000000sec
wrk_719 is done, it takes 19.000000sec
wrk_845 is done, it takes 39.000000sec
wrk_867 is done, it takes 30.000000sec
wrk_513 is done, it takes 57.000000sec
wrk_722 is done, it takes 18.000000sec
wrk_803 is done, it takes 10.000000sec
wrk_942 is done, it takes 10.000000sec
wrk_337 is done, it takes 93.000000sec
wrk_271 is done, it takes 87.000000sec
wrk_945 is done, it takes 10.000000sec
wrk_751 is done, it takes 47.000000sec
wrk_383 is done, it takes 67.000000sec
wrk_760 is done, it takes 48.000000sec
wrk_691 is done, it takes 80.000000sec
wrk_283 is done, it takes 69.000000sec
wrk_132 is done, it takes 78.000000sec
wrk_795 is done, it takes 10.000000sec
wrk_850 is done, it takes 42.000000sec
wrk_140 is done, it takes 78.000000sec
wrk_775 is done, it takes 15.000000sec
wrk_310 is done, it takes 92.000000sec
wrk_879 is done, it takes 29.000000sec
wrk_946 is done, it takes 11.000000sec
wrk_791 is done, it takes 11.000000sec
wrk_726 is done, it takes 7.000000sec
wrk_927 is done, it takes 5.000000sec
wrk_334 is done, it takes 69.000000sec
wrk_790 is done, it takes 11.000000sec
wrk_849 is done, it takes 40.000000sec
wrk_794 is done, it takes 12.000000sec
wrk_235 is done, it takes 112.000000sec
wrk_757 is done, it takes 49.000000sec
wrk_909 is done, it takes 11.000000sec
wrk_647 is done, it takes 84.000000sec
wrk_485 is done, it takes 49.000000sec
wrk_543 is done, it takes 55.000000sec
wrk_784 is done, it takes 13.000000sec
wrk_725 is done, it takes 21.000000sec
wrk_863 is done, it takes 28.000000sec
wrk_914 is done, it takes 10.000000sec
wrk_916 is done, it takes 9.000000sec
wrk_540 is done, it takes 58.000000sec
wrk_929 is done, it takes 6.000000sec
wrk_238 is done, it takes 113.000000sec
wrk_733 is done, it takes 18.000000sec
wrk_707 is done, it takes 27.000000sec
wrk_871 is done, it takes 24.000000sec
wrk_939 is done, it takes 15.000000sec
wrk_615 is done, it takes 48.000000sec
wrk_772 is done, it takes 15.000000sec
wrk_938 is done, it takes 16.000000sec
wrk_502 is done, it takes 65.000000sec
wrk_847 is done, it takes 48.000000sec
wrk_482 is done, it takes 54.000000sec
wrk_672 is done, it takes 85.000000sec
wrk_876 is done, it takes 35.000000sec
wrk_906 is done, it takes 16.000000sec
wrk_665 is done, it takes 88.000000sec
wrk_890 is done, it takes 32.000000sec
wrk_468 is done, it takes 164.000000sec
wrk_616 is done, it takes 56.000000sec
wrk_406 is done, it takes 133.000000sec
wrk_800 is done, it takes 11.000000sec
wrk_263 is done, it takes 50.000000sec
wrk_476 is done, it takes 60.000000sec
wrk_743 is done, it takes 54.000000sec
wrk_489 is done, it takes 50.000000sec
wrk_786 is done, it takes 20.000000sec
wrk_469 is done, it takes 163.000000sec
wrk_931 is done, it takes 13.000000sec
wrk_154 is done, it takes 85.000000sec
wrk_614 is done, it takes 58.000000sec
wrk_873 is done, it takes 36.000000sec
wrk_792 is done, it takes 19.000000sec
wrk_624 is done, it takes 51.000000sec
wrk_239 is done, it takes 78.000000sec
wrk_799 is done, it takes 14.000000sec
wrk_675 is done, it takes 87.000000sec
wrk_984 is done, it takes 11.000000sec
wrk_437 is done, it takes 132.000000sec
wrk_769 is done, it takes 23.000000sec
wrk_541 is done, it takes 58.000000sec
wrk_859 is done, it takes 41.000000sec
wrk_903 is done, it takes 18.000000sec
wrk_735 is done, it takes 57.000000sec
wrk_330 is done, it takes 108.000000sec
wrk_441 is done, it takes 78.000000sec
wrk_650 is done, it takes 86.000000sec
wrk_770 is done, it takes 27.000000sec
wrk_899 is done, it takes 23.000000sec
wrk_256 is done, it takes 114.000000sec
wrk_840 is done, it takes 24.000000sec
wrk_837 is done, it takes 55.000000sec
wrk_919 is done, it takes 18.000000sec
wrk_920 is done, it takes 18.000000sec
wrk_921 is done, it takes 18.000000sec
wrk_709 is done, it takes 32.000000sec
wrk_419 is done, it takes 93.000000sec
wrk_782 is done, it takes 24.000000sec
wrk_336 is done, it takes 108.000000sec
wrk_841 is done, it takes 61.000000sec
wrk_713 is done, it takes 36.000000sec
wrk_177 is done, it takes 86.000000sec
wrk_901 is done, it takes 24.000000sec
wrk_729 is done, it takes 17.000000sec
wrk_881 is done, it takes 45.000000sec
wrk_898 is done, it takes 26.000000sec
wrk_321 is done, it takes 161.000000sec
wrk_728 is done, it takes 27.000000sec
wrk_723 is done, it takes 36.000000sec
wrk_877 is done, it takes 17.000000sec
wrk_933 is done, it takes 22.000000sec
wrk_331 is done, it takes 112.000000sec
wrk_740 is done, it takes 65.000000sec
wrk_804 is done, it takes 28.000000sec
wrk_230 is done, it takes 131.000000sec
wrk_681 is done, it takes 25.000000sec
wrk_491 is done, it takes 52.000000sec
wrk_444 is done, it takes 134.000000sec
wrk_866 is done, it takes 21.000000sec
wrk_787 is done, it takes 33.000000sec
wrk_908 is done, it takes 29.000000sec
wrk_910 is done, it takes 27.000000sec
